"bioclim_1" "bioclim_10" "bioclim_11" "bioclim_2" "bioclim_3" "bioclim_4" "bioclim_5" "bioclim_6" "bioclim_7" "bioclim_8" "bioclim_9"
"1" 3.57083320617676 15.1666669845581 -7.33333349227905 7.55833339691162 22.7660636901855 907.081909179688 21.5 -11.6999998092651 33.2000007629395 13.2666664123535 -3.13333344459534
"2" 3.57083344459534 15.1333332061768 -7.33333349227905 7.44166660308838 22.5505046844482 905.71533203125 21.2999992370605 -11.6999998092651 33 13.283332824707 -3.20000004768372
"3" 17.5791664123535 26.3833332061768 8.33333301544189 13.1750001907349 40.9161491394043 733.8115234375 33.0999984741211 0.899999976158142 32.1999969482422 17.466667175293 22.8166656494141
"4" 1.68333327770233 10.6333332061768 -5.38333320617676 13.25 42.0634918212891 684.176147460938 19.1000003814697 -12.3999996185303 31.5 10.6333332061768 2.5
"5" 9.60833358764648 15.4666662216187 4.34999990463257 6.96666669845581 36.6666679382324 457.725769042969 20.2999992370605 1.29999995231628 19 7.23333358764648 11.2666664123535
"6" 10.9041662216187 19.6000003814697 2.58333349227905 10.3249998092651 35.3595886230469 691.531433105469 27.1000003814697 -2.09999990463257 29.2000007629395 11.4833335876465 17.4333343505859
"7" 5.80000019073486 13.3833332061768 -0.51666671037674 6.79999971389771 30.3571434020996 579.988220214844 18.2999992370605 -4.09999990463257 22.3999996185303 6.51666688919067 13.3833332061768
"8" 3.54583311080933 15.1166667938232 -7.35000038146973 7.52500009536743 22.8030300140381 905.803161621094 21.3999996185303 -11.6000003814697 33 13.2166662216187 -3.13333344459534
"9" 3.27500009536743 14.2333335876465 -6.84999990463257 8.38333320617676 25.8744850158691 852.924133300781 21 -11.3999996185303 32.4000015258789 12.4166669845581 -3.11666655540466
"10" -3.23749995231628 3.95000004768372 -9.75 6.05833339691162 27.6636238098145 579.45166015625 8.39999961853027 -13.5 21.8999996185303 3.91666674613953 -9.75
"11" -3.23749995231628 3.95000004768372 -9.75 6.05833339691162 27.6636238098145 579.45166015625 8.39999961853027 -13.5 21.8999996185303 3.91666674613953 -9.75
"12" 5.40416669845581 14.7666664123535 -3.20000004768372 4.69166660308838 18.3268222808838 735.448120117188 18.6000003814697 -7 25.6000003814697 7.01666641235352 2.66666650772095
